image_path,label,img_name
/Users/ptaneja/Desktop/triplet-loss-anomaly-detection/images/augmented_images/38-OK-5-s.bmp-0.bmp,OK,38-OK-5-s.bmp
/Users/ptaneja/Desktop/triplet-loss-anomaly-detection/images/augmented_images/38-OK-5-s.bmp-1.bmp,OK,38-OK-5-s.bmp
/Users/ptaneja/Desktop/triplet-loss-anomaly-detection/images/augmented_images/38-OK-5-s.bmp-2.bmp,OK,38-OK-5-s.bmp
/Users/ptaneja/Desktop/triplet-loss-anomaly-detection/images/augmented_images/38-OK-5-s.bmp-3.bmp,OK,38-OK-5-s.bmp
/Users/ptaneja/Desktop/triplet-loss-anomaly-detection/images/augmented_images/38-OK-5-s.bmp-4.bmp,OK,38-OK-5-s.bmp
/Users/ptaneja/Desktop/triplet-loss-anomaly-detection/images/augmented_images/38-OK-5-s.bmp-5.bmp,OK,38-OK-5-s.bmp
/Users/ptaneja/Desktop/triplet-loss-anomaly-detection/images/augmented_images/38-OK-5-s.bmp-6.bmp,OK,38-OK-5-s.bmp
/Users/ptaneja/Desktop/triplet-loss-anomaly-detection/images/augmented_images/38-OK-5-s.bmp-7.bmp,OK,38-OK-5-s.bmp
/Users/ptaneja/Desktop/triplet-loss-anomaly-detection/images/augmented_images/38-OK-5-s.bmp-8.bmp,OK,38-OK-5-s.bmp
/Users/ptaneja/Desktop/triplet-loss-anomaly-detection/images/augmented_images/38-OK-5-s.bmp-9.bmp,OK,38-OK-5-s.bmp
/Users/ptaneja/Desktop/triplet-loss-anomaly-detection/images/augmented_images/38-OK-5-s.bmp-10.bmp,OK,38-OK-5-s.bmp
/Users/ptaneja/Desktop/triplet-loss-anomaly-detection/images/augmented_images/38-OK-5-s.bmp-11.bmp,OK,38-OK-5-s.bmp
/Users/ptaneja/Desktop/triplet-loss-anomaly-detection/images/augmented_images/25-OK-34.bmp-0.bmp,OK,25-OK-34.bmp
/Users/ptaneja/Desktop/triplet-loss-anomaly-detection/images/augmented_images/25-OK-34.bmp-1.bmp,OK,25-OK-34.bmp
/Users/ptaneja/Desktop/triplet-loss-anomaly-detection/images/augmented_images/25-OK-34.bmp-2.bmp,OK,25-OK-34.bmp
/Users/ptaneja/Desktop/triplet-loss-anomaly-detection/images/augmented_images/25-OK-34.bmp-3.bmp,OK,25-OK-34.bmp
/Users/ptaneja/Desktop/triplet-loss-anomaly-detection/images/augmented_images/25-OK-34.bmp-4.bmp,OK,25-OK-34.bmp
/Users/ptaneja/Desktop/triplet-loss-anomaly-detection/images/augmented_images/25-OK-34.bmp-5.bmp,OK,25-OK-34.bmp
/Users/ptaneja/Desktop/triplet-loss-anomaly-detection/images/augmented_images/25-OK-34.bmp-6.bmp,OK,25-OK-34.bmp
/Users/ptaneja/Desktop/triplet-loss-anomaly-detection/images/augmented_images/25-OK-34.bmp-7.bmp,OK,25-OK-34.bmp
/Users/ptaneja/Desktop/triplet-loss-anomaly-detection/images/augmented_images/25-OK-34.bmp-8.bmp,OK,25-OK-34.bmp
/Users/ptaneja/Desktop/triplet-loss-anomaly-detection/images/augmented_images/25-OK-34.bmp-9.bmp,OK,25-OK-34.bmp
/Users/ptaneja/Desktop/triplet-loss-anomaly-detection/images/augmented_images/25-OK-34.bmp-10.bmp,OK,25-OK-34.bmp
/Users/ptaneja/Desktop/triplet-loss-anomaly-detection/images/augmented_images/25-OK-34.bmp-11.bmp,OK,25-OK-34.bmp
/Users/ptaneja/Desktop/triplet-loss-anomaly-detection/images/augmented_images/170-ok-25.bmp-0.bmp,OK,170-ok-25.bmp
/Users/ptaneja/Desktop/triplet-loss-anomaly-detection/images/augmented_images/170-ok-25.bmp-1.bmp,OK,170-ok-25.bmp
/Users/ptaneja/Desktop/triplet-loss-anomaly-detection/images/augmented_images/170-ok-25.bmp-2.bmp,OK,170-ok-25.bmp
/Users/ptaneja/Desktop/triplet-loss-anomaly-detection/images/augmented_images/170-ok-25.bmp-3.bmp,OK,170-ok-25.bmp
/Users/ptaneja/Desktop/triplet-loss-anomaly-detection/images/augmented_images/170-ok-25.bmp-4.bmp,OK,170-ok-25.bmp
/Users/ptaneja/Desktop/triplet-loss-anomaly-detection/images/augmented_images/170-ok-25.bmp-5.bmp,OK,170-ok-25.bmp
/Users/ptaneja/Desktop/triplet-loss-anomaly-detection/images/augmented_images/170-ok-25.bmp-6.bmp,OK,170-ok-25.bmp
/Users/ptaneja/Desktop/triplet-loss-anomaly-detection/images/augmented_images/170-ok-25.bmp-7.bmp,OK,170-ok-25.bmp
/Users/ptaneja/Desktop/triplet-loss-anomaly-detection/images/augmented_images/170-ok-25.bmp-8.bmp,OK,170-ok-25.bmp
